"Kod";"Nazwa";"gospodarstwa ogółem;gospodarstwa;2006;[-]";"gospodarstwa ogółem;gospodarstwa;2007;[-]";"gospodarstwa ogółem;gospodarstwa;2008;[-]";"gospodarstwa ogółem;gospodarstwa;2009;[-]";"gospodarstwa ogółem;gospodarstwa;2010;[-]";"gospodarstwa ogółem;gospodarstwa;2011;[-]";"gospodarstwa ogółem;gospodarstwa;2012;[-]";"gospodarstwa ogółem;gospodarstwa;2013;[-]";"gospodarstwa ogółem;gospodarstwa;2014;[-]";"gospodarstwa ogółem;gospodarstwa;2015;[-]";"gospodarstwa ogółem;gospodarstwa;2016;[-]";"gospodarstwa ogółem;gospodarstwa;2017;[-]";"gospodarstwa ogółem;gospodarstwa;2018;[-]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2006;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2007;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2008;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2009;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2010;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2011;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2012;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2013;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2014;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2015;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2016;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2017;[ha]";"gospodarstwa ogółem;powierzchnia użytków rolnych;2018;[ha]";
0000000;"POLSKA";9187;11870;14896;17091;20582;23449;25944;26598;24829;22277;22435;20257;19207;228038;287529;314848;367062;519069;605520;661688;669970;657902;580730;536579;494978;484677;
0200000;"DOLNOŚLĄSKIE";481;652;879;1021;1227;1322;1312;1189;1046;849;813;741;713;19332;21988;28467;26427;39703;45547;44304;37455;37005;31261;29200;27542;27357;
0400000;"KUJAWSKO-POMORSKIE";173;217;258;279;327;371;390;415;401;363;470;419;395;4846;5884;5943;6826;7688;8376;8813;11152;11573;10645;9263;8331;7655;
0600000;"LUBELSKIE";1072;1402;1566;1710;1962;2065;2174;2129;1975;1825;1980;1904;1948;19957;23934;26892;30113;34855;34837;37466;40819;38467;34052;31343;29001;28428;
0800000;"LUBUSKIE";256;361;480;579;833;1081;1356;1422;1370;1202;1148;948;877;12094;18201;18207;22929;35797;44259;52581;54692;53300;46343;43235;37923;37174;
1000000;"ŁÓDZKIE";218;261;314;366;420;478;518;528;508;478;497;477;491;3378;3561;4829;5270;7671;8746;9908;10342;11229;10158;9986;9260;8905;
1200000;"MAŁOPOLSKIE";1363;1627;2100;2197;2156;2138;2103;1838;1378;1128;1093;934;770;13827;14481;22619;16488;21968;21396;21050;17005;15529;12976;12364;10691;8844;
1400000;"MAZOWIECKIE";1028;1215;1481;1673;1935;2140;2373;2609;2374;2147;2426;2215;2284;20878;23218;27742;34538;46229;50100;55804;63445;60354;53790;49517;44348;42049;
1600000;"OPOLSKIE";46;53;62;63;79;86;90;88;75;67;68;57;61;1196;934;1571;1879;3180;2703;2930;3543;3306;3042;3216;2790;3554;
1800000;"PODKARPACKIE";1164;1577;1892;2014;2091;2045;1940;1750;1475;1261;1252;1194;1131;20601;27047;28671;22593;31868;32359;30381;29506;23510;16656;15486;15349;13630;
2000000;"PODLASKIE";628;847;1160;1528;2033;2440;2924;3407;3432;3273;3437;3211;2989;11657;15391;20410;28764;42917;52066;56367;63548;64897;56528;55168;53551;51608;
2200000;"POMORSKIE";222;273;392;494;648;763;894;893;847;737;679;609;540;8037;10968;11366;14591;22554;27357;30615;28721;29282;24866;23328;22419;19974;
2400000;"ŚLĄSKIE";116;143;176;199;228;238;236;242;230;201;180;162;148;2340;3079;3935;3632;5739;6787;7125;7220;7788;6638;5324;3726;2951;
2600000;"ŚWIĘTOKRZYSKIE";892;995;1165;1170;1243;1296;1288;1207;992;853;834;740;680;8963;9824;10841;10647;13123;14301;14551;15122;13038;11598;10739;9970;9087;
2800000;"WARMIŃSKO-MAZURSKIE";586;773;1059;1514;2279;3033;3793;4235;4234;4041;4142;3745;3393;23991;28810;28791;49617;75242;98473;112945;116199;117097;112768;108667;107067;104574;
3000000;"WIELKOPOLSKIE";264;415;516;588;748;888;974;1006;966;809;843;736;727;14511;21096;20417;23770;32513;38434;41479;41617;42071;34523;29171;25389;25994;
3200000;"ZACHODNIOPOMORSKIE";678;1059;1396;1696;2373;3065;3579;3640;3526;3043;2573;2165;2060;42431;59114;54151;68977;98023;119780;135367;129585;129456;114887;100570;87620;92892;
